participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,11,23,formal,incongruent,1779260825,60.0,2026-05-20T15:09:44.654,0,0,0,1,152270.256,152283.829,incongruent,left,right,>><>>,s,s,1,961.582,153362.054,none,,152370.256,152400.472,153362.054,3000,961.582,153362.054,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 152270.256, ""actual_onset_global_ms"": 152283.829, ""actual_offset_global_ms"": 152402.412, ""actual_duration_ms"": 118.583}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 152370.256, ""actual_onset_global_ms"": 152400.472, ""actual_offset_global_ms"": 153362.054, ""actual_duration_ms"": 961.582}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,12,24,formal,congruent,1779260825,60.0,2026-05-20T15:09:45.755,0,0,0,1,153372.119,153383.188,congruent,right,right,>>>>>,j,j,1,656.558,154156.935,none,,153472.119,153500.377,154156.935,3000,656.558,154156.935,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 153372.119, ""actual_onset_global_ms"": 153383.188, ""actual_offset_global_ms"": 153500.146, ""actual_duration_ms"": 116.958}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 153472.119, ""actual_onset_global_ms"": 153500.377, ""actual_offset_global_ms"": 154156.935, ""actual_duration_ms"": 656.558}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,13,25,formal,incongruent,1779260825,60.0,2026-05-20T15:09:46.554,0,0,0,1,154170.162,154184.36,incongruent,right,left,<<><<,j,j,1,687.605,154988.836,none,,154270.162,154301.231,154988.836,3000,687.605,154988.836,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 154170.162, ""actual_onset_global_ms"": 154184.36, ""actual_offset_global_ms"": 154300.32, ""actual_duration_ms"": 115.96}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 154270.162, ""actual_onset_global_ms"": 154301.231, ""actual_offset_global_ms"": 154988.836, ""actual_duration_ms"": 687.605}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,14,26,formal,incongruent,1779260825,60.0,2026-05-20T15:09:47.388,0,0,0,1,155004.423,155016.85,incongruent,left,right,>><>>,s,s,1,947.072,156081.365,none,,155104.423,155134.293,156081.365,3000,947.072,156081.365,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 155004.423, ""actual_onset_global_ms"": 155016.85, ""actual_offset_global_ms"": 155133.701, ""actual_duration_ms"": 116.851}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 155104.423, ""actual_onset_global_ms"": 155134.293, ""actual_offset_global_ms"": 156081.365, ""actual_duration_ms"": 947.072}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,15,27,formal,congruent,1779260825,60.0,2026-05-20T15:09:48.473,0,0,0,1,156089.455,156101.137,congruent,right,right,>>>>>,j,j,1,668.062,156886.049,none,,156189.455,156217.987,156886.049,3000,668.062,156886.049,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 156089.455, ""actual_onset_global_ms"": 156101.137, ""actual_offset_global_ms"": 156218.642, ""actual_duration_ms"": 117.505}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 156189.455, ""actual_onset_global_ms"": 156217.987, ""actual_offset_global_ms"": 156886.049, ""actual_duration_ms"": 668.062}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,16,28,formal,incongruent,1779260825,60.0,2026-05-20T15:09:49.287,0,0,0,1,156903.649,156917.609,incongruent,right,left,<<><<,j,j,1,903.579,157937.108,none,,157003.649,157033.529,157937.108,3000,903.579,157937.108,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 156903.649, ""actual_onset_global_ms"": 156917.609, ""actual_offset_global_ms"": 157033.474, ""actual_duration_ms"": 115.865}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 157003.649, ""actual_onset_global_ms"": 157033.529, ""actual_offset_global_ms"": 157937.108, ""actual_duration_ms"": 903.579}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,17,29,formal,incongruent,1779260825,60.0,2026-05-20T15:09:50.339,0,0,0,1,157956.0,157966.491,incongruent,left,right,>><>>,s,s,1,725.809,158809.252,none,,158056.0,158083.443,158809.252,3000,725.809,158809.252,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 157956.0, ""actual_onset_global_ms"": 157966.491, ""actual_offset_global_ms"": 158083.449, ""actual_duration_ms"": 116.958}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 158056.0, ""actual_onset_global_ms"": 158083.443, ""actual_offset_global_ms"": 158809.252, ""actual_duration_ms"": 725.809}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,18,30,formal,congruent,1779260825,60.0,2026-05-20T15:09:51.204,0,0,0,1,158820.878,158833.492,congruent,right,right,>>>>>,j,j,1,602.536,159552.867,none,,158920.878,158950.331,159552.867,3000,602.536,159552.867,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 158820.878, ""actual_onset_global_ms"": 158833.492, ""actual_offset_global_ms"": 158950.882, ""actual_duration_ms"": 117.39}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 158920.878, ""actual_onset_global_ms"": 158950.331, ""actual_offset_global_ms"": 159552.867, ""actual_duration_ms"": 602.536}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,19,31,formal,incongruent,1779260825,60.0,2026-05-20T15:09:51.956,0,0,0,1,159572.116,159593.748,incongruent,right,left,<<><<,j,j,1,1153.027,160852.936,none,,159672.116,159699.909,160852.936,3000,1153.027,160852.936,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 159572.116, ""actual_onset_global_ms"": 159593.748, ""actual_offset_global_ms"": 159700.183, ""actual_duration_ms"": 106.435}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 159672.116, ""actual_onset_global_ms"": 159699.909, ""actual_offset_global_ms"": 160852.936, ""actual_duration_ms"": 1153.027}]",,,,,0,0,1,0,1
22,22_T1_20260520_150705,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,20,32,formal,congruent,1779260825,60.0,2026-05-20T15:09:53.255,0,0,0,1,160871.537,160883.202,congruent,right,right,>>>>>,j,j,1,1240.572,162242.038,none,,160971.537,161001.466,162242.038,3000,1240.572,162242.038,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 160871.537, ""actual_onset_global_ms"": 160883.202, ""actual_offset_global_ms"": 161002.121, ""actual_duration_ms"": 118.919}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 160971.537, ""actual_onset_global_ms"": 161001.466, ""actual_offset_global_ms"": 162242.038, ""actual_duration_ms"": 1240.572}]",,,,,0,0,1,0,1
